Segment,Direction,Class,AADT,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
S13,SB,Heavy B,282,16,11,15,18,11,15,13,2,12,14,15,11,9,12,9,6,12,11,11,9,6,8,20,16
S13,NB,Lights,82376,732,504,379,565,1382,3989,6795,6616,5463,4974,4760,4335,4434,4500,4775,4507,4503,4449,3911,3377,2693,2289,1390,1054
S13,NB,Medium A,2188,28,29,18,23,28,56,123,115,185,195,177,151,151,139,163,145,132,78,64,51,22,41,43,31
S13,NB,Medium B,886,4,2,6,5,10,15,95,66,75,78,77,78,67,85,61,48,40,17,14,14,9,2,10,8
S13,NB,Heavy A,5348,103,121,106,117,141,180,193,175,301,334,324,359,369,371,282,265,240,188,234,223,244,179,159,140
S13,NB,Heavy B,274,16,13,5,16,11,6,7,6,2,8,11,9,8,22,11,13,11,8,12,8,12,17,16,26
S14,SB,Lights,74757,747,447,382,423,618,1343,2734,3490,3181,2887,3171,3581,3965,4197,5288,6442,7311,6685,5333,3800,2970,2428,1969,1365
S14,SB,Medium A,2146,30,30,54,18,42,44,103,151,160,216,130,199,164,158,152,141,127,85,74,31,10,15,5,7
S14,SB,Medium B,739,1,0,0,0,0,23,56,60,47,57,62,59,69,66,59,57,57,38,17,9,2,0,0,0
S14,SB,Heavy A,4990,125,115,139,135,153,191,198,253,264,279,305,318,321,274,283,223,221,194,253,169,122,181,127,147
S14,SB,Heavy B,191,7,8,12,5,8,11,8,13,10,10,8,11,10,10,14,14,6,9,8,3,6,0,0,0
S14,NB,Lights,71915,569,330,409,558,1199,3555,6528,6366,4979,4267,3783,3604,3700,3798,4048,3909,3857,4080,3746,2717,2156,1761,1181,815
S14,NB,Medium A,2169,20,14,20,22,31,43,114,131,187,192,205,152,132,165,137,131,112,94,92,75,24,36,25,15
S14,NB,Medium B,767,0,0,0,0,0,38,92,56,55,70,64,58,76,67,58,50,29,25,15,12,2,0,0,0
S14,NB,Heavy A,4575,117,135,102,123,145,169,175,235,252,242,261,247,258,235,247,202,200,213,205,207,205,143,140,117
S14,NB,Heavy B,163,3,0,0,0,0,8,7,5,4,12,8,10,7,7,13,8,6,11,11,9,1,3,12,18
S15,SB,Lights,71670,486,344,412,610,1491,4005,4831,4439,3817,3646,3684,3484,3649,3895,4183,4612,4523,4476,4438,3072,2478,2129,1732,1234
