Segment,Direction,Class,AADT,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
S11,SB,Medium B,1102.118825,12.22341736,0,4.910598046,6.138247557,4.735966387,28.23593876,154.6838384,147.6035096,59.66376626,93.54689277,81.02486776,80.6565729,86.1809957,68.50284274,69.6077273,71.81749642,39.03925446,13.25861472,17.67815297,16.20497355,5.524422802,15.46838384,9.943961043,15.46838384
S11,SB,Heavy A,12427.97771,435.5981458,346.1971622,358.4736573,411.2625863,439.2608824,524.2063414,519.2957434,738.017548,386.7095961,525.188461,484.6760271,715.9651951,777.8387305,762.3703466,704.9163495,618.7353538,353.5630593,419.1195432,464.0515153,425.0122609,513.7713205,567.910664,503.8273595,432.0098631
S11,SB,Heavy B,277.4981869,13.33463712,14.73179414,8.59354658,12.27649511,17.75987395,18.41474267,13.50414463,27.14547303,12.52202502,8.102486776,7.365897069,15.46838384,19.88792209,24.30746033,12.15373016,8.839076483,3.682948534,6.629307362,7.365897069,6.629307362,5.524422802,4.419538241,2.209769121,6.629307362
S11,NB,Lights,77603.5578,842.1675649,899.8670919,591.7270645,887.5905968,1905.925867,5616.12822,6619.363401,4365.030603,3792.700401,3227.736096,3092.203589,4726.696149,4744.374302,4501.299699,4637.2005,4778.20368,5238.215146,2709.176942,2729.064864,2582.483512,3098.096307,2690.393904,2005.365477,1322.546819
S11,NB,Medium A,2805.652181,29.46358828,22.09769121,30.69123779,56.47187753,77.34191922,113.8031097,199.9841054,146.5813517,152.4740693,142.1618134,159.1033767,278.4309092,245.2843724,253.0185643,181.2010679,153.6814834,153.5811771,53.7710486,70.71261186,73.65897069,51.92957434,61.87353538,57.45399714,40.88072873
S11,NB,Medium B,764.6049177,4.910598046,3.682948534,0,4.910598046,2.209769121,15.46838384,81.76145746,33.88312652,55.24422802,45.66856183,52.29786919,91.70541851,64.0833045,81.76145746,58.5588817,64.52276021,53.47915988,8.839076483,11.0488456,7.365897069,5.524422802,2.209769121,11.0488456,4.419538241
S11,NB,Heavy A,12614.14251,445.6367727,402.6690398,417.4008339,428.4496795,468.4710536,493.8833985,451.8977852,215.8207841,352.8264696,524.4518713,564.2277155,889.4320711,797.7266526,823.1389974,688.3430811,594.7825351,787.1035326,334.4117269,307.8944975,483.2028477,628.6793148,562.3862412,496.0931676,455.2124389
S11,NB,Heavy B,250.0404067,3.682948534,3.682948534,0,0,0,15.46838384,18.78303753,7.365897069,10.3122559,5.156127948,8.839076483,19.88792209,29.83188313,12.15373016,14.36349928,8.211987663,6.856302548,9.575666189,5.892717655,5.892717655,0,16.5732684,24.30746033,23.20257577
S12,SB,Lights,78535.73395,974,622,449,421,760,1617.3,2958.3,2346,2980.452387,4319.197076,4605.265783,4173,4260,4196,4368,4825,7359.8,7015.626245,5583.55412,5151.51447,3422.623873,2447.1,2195.1,1485.9
S12,SB,Medium A,2734.832449,31,34,55,50,80,94.5,119.7,88.8,130.9810377,231.3012642,248.4855638,232,198,212,210,114,133,141.2542197,109.3538228,104.523482,35.93305903,27.9,34.2,18.9
S12,SB,Medium B,1095.818103,11,0,4,5,4,20.7,113.4,52.2,68.44815519,149.8737783,130.1591049,73,78,62,63,65,74.2,24.92721524,31.24394938,27.37519767,4.990702644,12.6,8.1,12.6
S12,SB,Heavy A,12688.79367,392,282,292,335,371,384.3,380.7,261,443.6454503,841.417354,778.5881,648,704,690,638,560,672,787.9769707,820.1536711,717.9767752,464.1353459,462.6,410.4,351.9
S12,SB,Heavy B,260.6510685,12,12,7,10,15,13.5,9.9,9.6,14.3656622,12.9811934,11.8326459,14,18,22,11,8,7,12.46360762,13.01831224,11.1989445,4.990702644,3.6,1.8,5.4
S12,NB,Lights,88782.4197,686,733,482,723,1725,5083,5991,8296.4,7198.304482,5999.452355,5481.490284,4278,4294,4074,4197,4073,5348,5149.2,5187,2103.6,2523.6,2435,1633.5,1087.872584
